監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.059,2015-02-04 02:35
三芝,SHANGI,0.072,2015-02-04 02:35
石崩山,SHIHBENGSHAN,0.107,2015-02-04 02:35
茂林,MAOLIN,0.075,2015-02-04 02:35
金山,CHINSHAN,0.065,2015-02-04 02:40
野柳,YEHLIU,0.064,2015-02-04 02:40
大鵬,TAPERNG,0.080,2015-02-04 02:35
陽明山,YANGMINSHAN,0.063,2015-02-04 02:40
大坪,TAPING,0.095,2015-02-04 02:35
萬里,WANLI,0.090,2015-02-04 02:40
台北,TAIPEI,0.057,2015-02-04 02:35
宜蘭,ILAN,0.065,2015-02-04 02:35
龍潭,LUNGTAN,0.052,2015-02-04 02:35
台中,TAICHUNG,0.071,2015-02-04 02:35
台東,TAITUNG,0.054,2015-02-04 02:35
高雄,KAOHSIUNG,0.058,2015-02-04 02:40
恆春,HENGCHUN,0.072,2015-02-04 02:35
龍泉,LUNGCHUAN,0.063,2015-02-04 02:40
大光,TAKUANG,0.048,2015-02-04 02:35
墾丁,KENTING,0.050,2015-02-04 02:35
後壁湖,HOUBIHU,0.057,2015-02-04 02:35
澳底,AODI,0.062,2015-02-04 02:40
貢寮,GONGLIAO,0.060,2015-02-04 02:40
阿里山,ALISHAN,0.114,2015-02-04 02:40
金門,KINMEN,0.081,2015-02-04 02:40
蘭嶼,LANYU,0.040,2015-02-04 02:40
台南,TAINAN,0.059,2015-02-04 02:35
龍門,LUNGMEN,0.065,2015-02-04 02:40
雙溪,SHUANGSI,0.065,2015-02-04 02:40
三港,SANGANG,0.070,2015-02-04 02:35
新竹,HSINCHU,0.052,2015-02-04 02:35
花蓮,HUALINE,0.052,2015-02-04 02:40
澎湖,PENGHU,0.051,2015-02-04 02:35
馬祖,MATZU,0.051,2015-02-04 02:40
滿州,MANJHOU,0.050,2015-02-04 02:35
板橋,BANCIAO,0.086,2015-02-04 02:35
屏東市,PINGTONG,0.048,2015-02-04 02:35
基隆,KEELUNG,0.067,2015-02-04 02:35
頭城,TOUCHENG,0.064,2015-02-02 22:10
竹北,JHUBEI,0.051,2015-02-04 02:35
苗栗,MIAOLI,0.045,2015-02-04 02:35
南投,NANTOU,0.050,2015-02-04 02:35
彰化,CHANGHUA,0.062,2015-02-04 02:35
雲林,YUNLIN,0.052,2015-02-04 02:35
嘉義,CHIAYI,0.046,2015-02-04 02:35
