監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.054,2015-01-19 00:45
三芝,SHANGI,0.059,2015-01-19 00:45
石崩山,SHIHBENGSHAN,0.066,2015-01-19 00:45
茂林,MAOLIN,0.050,2015-01-19 00:45
金山,CHINSHAN,0.048,2015-01-19 00:45
野柳,YEHLIU,0.056,2015-01-19 00:45
大鵬,TAPERNG,0.066,2015-01-19 00:45
陽明山,YANGMINSHAN,0.063,2015-01-19 00:45
大坪,TAPING,0.060,2015-01-19 00:45
萬里,WANLI,0.073,2015-01-19 00:45
台北,TAIPEI,0.056,2015-01-19 00:45
宜蘭,ILAN,0.063,2015-01-19 00:45
龍潭,LUNGTAN,0.052,2015-01-19 00:45
台中,TAICHUNG,0.068,2015-01-19 00:45
台東,TAITUNG,0.056,2015-01-19 00:45
高雄,KAOHSIUNG,0.058,2015-01-19 00:50
恆春,HENGCHUN,0.070,2015-01-19 00:45
龍泉,LUNGCHUAN,0.065,2015-01-19 00:45
大光,TAKUANG,0.049,2015-01-19 00:45
墾丁,KENTING,0.051,2015-01-19 00:45
後壁湖,HOUBIHU,0.056,2015-01-19 00:45
澳底,AODI,0.050,2015-01-19 00:45
貢寮,GONGLIAO,0.057,2015-01-19 00:50
阿里山,ALISHAN,0.106,2015-01-19 00:50
金門,KINMEN,0.079,2015-01-19 00:50
蘭嶼,LANYU,0.041,2015-01-19 00:45
台南,TAINAN,0.058,2015-01-19 00:45
龍門,LUNGMEN,0.054,2015-01-19 00:50
雙溪,SHUANGSI,0.064,2015-01-19 00:50
三港,SANGANG,0.064,2015-01-19 00:45
新竹,HSINCHU,0.049,2015-01-17 07:55
花蓮,HUALINE,0.057,2015-01-19 00:45
澎湖,PENGHU,0.050,2015-01-19 00:45
馬祖,MATZU,0.052,2015-01-19 00:50
滿州,MANJHOU,0.048,2015-01-19 00:45
板橋,BANCIAO,0.070,2015-01-19 00:45
屏東市,PINGTONG,0.048,2015-01-19 00:45
基隆,KEELUNG,0.058,2015-01-19 00:45
頭城,TOUCHENG,0.048,2015-01-19 00:45
竹北,JHUBEI,0.043,2015-01-19 00:45
苗栗,MIAOLI,0.045,2015-01-19 00:45
南投,NANTOU,0.049,2015-01-19 00:45
彰化,CHANGHUA,0.067,2015-01-19 00:45
雲林,YUNLIN,0.054,2015-01-19 00:45
嘉義,CHIAYI,0.054,2015-01-19 00:45
