"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"58","03705903","兆豐國際商業銀行股份有限公司","臺北市中山區中原里吉林路100號","蔡友才","80000000000","1040911"
"59","03742301","華南商業銀行股份有限公司","臺北市信義區松仁路123號","徐光曦","67676000000","1040910"
"60","03793407","臺灣中小企業銀行股份有限公司","臺北市大同區玉泉里9鄰塔城街30號","朱潤逢","56846617870","1040914"
"61","04204049","日暉池上股份有限公司","臺北市中正區中華路1段59號8樓","鄭越才","835300000","1040914"
"62","04207968","南榮貿易股份有限公司","臺北市中正區開封街1段69號","林慧如","68688000","1040907"
"63","04208832","台灣通力電梯股份有限公司","臺北市內湖區洲子街88號6樓之1","夏文書(Har Boon Cher )","300000000","1040904"
"64","04211689","琴府有限公司","臺北市大安區市民大道4段68巷1號","陳及人","5000000","1040903"
"65","04212596","小法股份有限公司","桃園市龍潭區百年二街29號18樓之3","邱進森","22000000","1040925"
"66","04219562","台灣精工國際股份有限公司","臺北市中山區建國北路1段90號7樓","庄山昌彥","44000000","1040908"
"67","04228083","福誼企業股份有限公司","苗栗縣造橋鄉龍昇村渡船頭22-1號　","王國儒","187500000","1040921"
"68","04229576","明邦旅行社股份有限公司","臺北市中山區復興北路156號5樓","吳承軒","7000000","1040907"
"69","04231094","名家股份有限公司","新北市新店區寶橋路235巷6弄4號8樓","王力攻","2000000","1040917"
"70","04236252","華倫橡膠工業股份有限公司","臺北市中山區松江路51號9樓之3","湯建英","7000000","1040904"
"71","04246879","美艾利爾健康股份有限公司","臺北市松山區南京東路4段16號11樓","李家丞","28960840","1040914"
"72","04249876","三民書局股份有限公司","臺北市中正區重慶南路1段59號","劉振強","40000000","1040930"
"73","04260576","祺煜機電工程有限公司","桃園市蘆竹區南崁路2段88號  ","陳國雄","22000000","1040901"
"74","04268726","晶華國際酒店股份有限公司","臺北市中山區中山北路2段39巷3號1至20樓","潘思亮","1267457690","1040903"
"75","04275607","西合實業股份有限公司","臺北市中正區博愛路12號","曹慶霖","100000000","1040925"
"76","04284710","海緯實業有限公司","臺北市中山區長安東路2段67號5樓之3","陳國城","5000000","1040903"
"77","04300958","偉富染織廠股份有限公司","臺北市大同區重慶北路2段64巷24號","","16250000","1040923"
"78","04315397","康福旅行社股份有限公司","臺北市中山區南京東路2段98號4樓、5樓、6樓、6樓之1、7樓之1、7樓之2、11樓、11樓之1","黃明峰","697514220","1040901"
"79","04342388","見豐貿易有限公司","臺北市北投區大度路3段221號9樓","鄭淑珠","60000000","1040907"
"80","04342697","亨泰光學股份有限公司","臺北市士林區承德路4段150號6樓之1、152號6樓之1","吳怡璁","16000000","1040930"
"81","04354736","大友車業有限公司","臺北市士林區雨農路48號1樓","蕭文松","1000000","1040916"
"82","04359789","劍麟股份有限公司","新北市汐止區新台五路1段98號19樓","黃正怡","735050400","1040921"
"83","04363469","志伸股份有限公司","臺北市內湖區新湖三路168號6樓","胡祖安","50000000","1040922"
"84","04369267","康合國際貿易股份有限公司","臺北市中山區中山北路2段52號6樓","曹清瑩","92363100","1040914"
"85","04372299","樹東企業股份有限公司","臺北市大安區敦化南路2段77號3樓","許麗紅","23944690","1040908"
"86","04375248","台灣留蘭香股份有限公司","臺北市中正區忠孝東路1段112號9樓","羅凡(Francois Laurent)","94000000","1040908"
"87","04382114","中國合成橡膠股份有限公司","臺北市中山區中山北路2段113號8樓","辜成允","5986542740","1040914"
"88","04383578","世紀貿易股份有限公司","臺北市士林區通河西街2段232之3號1樓","鄭文哲","60000000","1040923"
"89","04398684","鏗鼎企業股份有限公司","桃園市新屋區清華里中山東路一段239號","謝易霖","10000000","1040901"
"90","04399017","盛達國際物流股份有限公司","臺北市中山區松江路100巷1號2樓","蕭光守","120000000","1040923"
"91","04404855","昭元化成股份有限公司","臺北市中山區松江路129號9樓","林子元","110000000","1040925"
"92","04410343","嘉美工業股份有限公司","嘉義縣太保市嘉太工業區中興路5號","劉勝輝","20000000","1040922"
"93","04413051","凱美電機股份有限公司","新北市汐止區新台五路1段81號13樓之2","何文等","1363894690","1040924"
"94","04419668","錦璘企業股份有限公司","臺北市大安區仁愛路4段147號10樓","蔡鳳梅","23100000","1040907"
"95","04427533","双安有限公司","臺北市中山區長安東路1段2之1號3樓","黄柑力","12000000","1040924"
"96","04437928","綺歐有限公司","臺北市中山區松江路297巷2號1樓","葉宗琦","5000000","1040915"
"97","04440156","偉成興業股份有限公司","臺北市中山區南京東路2段125號8樓之1","萬力誠","20000000","1040925"
"98","04459794","台灣厚木工業股份有限公司","桃園市平鎮區平東路556號","金口和正","350000000","1040910"
"99","04465091","協新營造股份有限公司","臺北市信義區基隆路2段107之5號10樓","湯博宇","50000000","1040911"
