SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,52,懸浮微粒,普通,3,0.17,4.3,53,15,14,1.4,144,3,16.35,2.46,2015-07-03 04:00
三重,新北市,52,懸浮微粒,普通,4,0.62,,52,29,22,,,2,37.33,15.32,2015-07-03 04:00
三義,苗栗縣,28,,良好,2.3,0.12,26,21,7,2.8,1.6,196,2,4.04,1.26,2015-07-03 04:00
土城,新北市,32,,良好,1.8,0.34,3.1,29,19,17,1.1,162,2,22.93,6.41,2015-07-03 04:00
士林,臺北市,38,,良好,2.4,0.3,11,34,12,13,0.9,124,2,14.22,1.37,2015-07-03 04:00
大同,臺北市,0,,,3.5,0.63,,53,20,26,,,,36.07,10.51,2015-07-03 01:00
大里,臺中市,41,,良好,1.9,0.17,13,18,13,6.9,1.1,231,2,8.79,1.87,2015-07-03 04:00
大園,桃園市,44,,良好,4.8,0.3,7.9,43,23,19,1.3,152,2,19.75,.82,2015-07-03 04:00
大寮,高雄市,30,,良好,2,0.26,7.5,31,,10,0.6,259,2,11.23,1.06,2015-07-03 04:00
小港,高雄市,48,,良好,3.1,0.22,11,48,11,11,1.2,58,1,12.41,1,2015-07-03 04:00
中山,臺北市,46,,良好,3.7,0.42,5.5,50,16,19,1.2,115,2,21.7,2.58,2015-07-03 04:00
中壢,桃園市,53,懸浮微粒,普通,4.2,0.42,8.4,54,10,16,0.7,212,2,20.7,5.07,2015-07-03 04:00
仁武,高雄市,41,,良好,5.8,0.2,10,48,5,9.5,0.7,79,1,10.43,.93,2015-07-03 04:00
斗六,雲林縣,25,,良好,2.2,0.12,15,25,9,6,1.6,111,1,6.5,.47,2015-07-03 04:00
冬山,宜蘭縣,27,,良好,1.8,0.16,20,18,,5.9,0.9,235,2,6.82,.98,2015-07-03 04:00
古亭,臺北市,34,,良好,1.9,0.28,6.5,24,12,12,0.9,160,2,12.97,1.21,2015-07-03 04:00
左營,高雄市,32,,良好,2.7,0.21,13,36,11,10,1.4,82,1,11,.75,2015-07-03 04:00
平鎮,桃園市,0,,,4,0.33,12,47,18,17,1.8,166,,18.72,1.47,2015-07-03 00:00
永和,新北市,28,,良好,1.7,0.32,5.5,27,14,10,1.1,165,2,12.62,2.41,2015-07-03 04:00
安南,臺南市,30,,良好,2.2,0.14,11,26,17,12,1.6,122,2,12.53,.73,2015-07-03 04:00
朴子,嘉義縣,53,懸浮微粒,普通,1.8,0.14,10,51,5,9.5,1.5,144,1,10.93,1.47,2015-07-03 04:00
汐止,新北市,42,,良好,5,0.39,0.6,37,13,17,0.8,90,2,32.02,14.6,2015-07-03 04:00
竹山,南投縣,33,,良好,2.1,0.12,9.6,24,1,6.4,0.7,220,1,7.51,1.13,2015-07-03 04:00
竹東,新竹縣,35,,良好,1.8,0.18,13,35,14,4.5,1.5,122,2,5.22,.71,2015-07-03 04:00
西屯,臺中市,41,,良好,2.2,0.17,10,10,9,12,0.9,233,2,14.07,2.07,2015-07-03 04:00
沙鹿,臺中市,40,,良好,3.2,0.18,16,35,6,10,2.3,182,1,11.3,1.2,2015-07-03 04:00
宜蘭,宜蘭縣,38,,良好,2.3,0.18,15,39,13,5.8,1.2,326,2,6.44,.67,2015-07-03 04:00
忠明,臺中市,28,,良好,1.5,0.14,18,15,9,6.6,1.5,206,2,7.33,.76,2015-07-03 04:00
松山,臺北市,38,,良好,2.4,0.3,7.1,30,13,12,1.6,69,2,13.97,1.8,2015-07-03 04:00
板橋,新北市,44,,良好,2.7,0.3,9,42,17,13,1.1,141,2,13.98,1.13,2015-07-03 04:00
林口,新北市,36,,良好,3.8,0.28,16,42,14,15,1.8,263,2,15.38,.85,2015-07-03 04:00
林園,高雄市,27,,良好,2.2,0.14,10,31,11,8.2,1.5,20,2,9.12,.91,2015-07-03 04:00
花蓮,花蓮縣,33,,良好,1.2,0.17,28,24,17,2.6,3.4,232,2,2.42,-.22,2015-07-03 04:00
金門,金門縣,43,,良好,2.7,0.12,20,33,17,6.5,2.6,203,2,7.51,1.04,2015-07-03 04:00
前金,高雄市,27,,良好,4,0.27,12,21,10,11,1.4,38,1,11.88,1.33,2015-07-03 04:00
前鎮,高雄市,33,,良好,2.8,0.29,12,38,3,9.6,1.2,41,1,10.97,1.41,2015-07-03 04:00
南投,南投縣,30,,良好,1.3,0.15,9.4,21,7,7.4,1.7,173,1,7.81,.44,2015-07-03 04:00
屏東,屏東縣,31,,良好,1.6,0.16,11,28,7,6.6,1,52,1,7.04,.42,2015-07-03 04:00
恆春,屏東縣,30,,良好,2,0.09,26,27,5,1.6,1.8,320,1,2.91,1.32,2015-07-03 04:00
美濃,高雄市,22,,良好,1.5,0.12,9.4,17,9,4.9,0.9,37,2,5.89,1.01,2015-07-03 04:00
苗栗,苗栗縣,37,,良好,1.7,0.13,24,29,7,4.7,2,196,2,5.29,.61,2015-07-03 04:00
埔里,南投縣,28,,良好,1.2,0.15,8.9,27,18,4.2,1.2,161,2,6.32,2.12,2015-07-03 04:00
桃園,桃園市,47,,良好,7.2,0.34,9.3,50,20,16,0.7,100,2,17.65,1.86,2015-07-03 04:00
馬公,澎湖縣,18,,良好,1.5,0.1,22,11,6,1.6,1,190,1,2.45,.89,2015-07-03 04:00
馬祖,連江縣,36,,良好,2.1,0.14,43,11,0,3.4,2.6,53,,4.27,.89,2015-07-03 04:00
基隆,基隆市,44,,良好,1.6,0.26,2,42,16,13,0.6,287,2,15.24,2.71,2015-07-03 04:00
崙背,雲林縣,36,,良好,2.9,0.16,5.8,24,13,13,1.7,150,2,13.39,.76,2015-07-03 04:00
淡水,新北市,42,,良好,2.5,0.43,5.3,38,13,18,,,1,19.44,1.72,2015-07-03 04:00
麥寮,雲林縣,52,懸浮微粒,普通,1.7,0.19,12,43,5,7,1.8,171,1,9.02,2.07,2015-07-03 04:00
善化,臺南市,25,,良好,2.5,0.16,9.2,22,9,7,1,148,1,7.92,.93,2015-07-03 04:00
復興,高雄市,27,,良好,2.8,0.24,6.4,26,21,9,0.8,126,2,10.32,1.35,2015-07-03 04:00
湖口,新竹縣,35,,良好,2,0.17,15,31,6,9.4,1.3,148,1,10.11,.67,2015-07-03 04:00
菜寮,新北市,43,,良好,3.1,0.4,2.6,44,14,20,1.4,138,1,23.46,3.01,2015-07-03 04:00
陽明,臺北市,26,,良好,1.6,0.15,31,16,9,1.5,,,1,2.39,.9,2015-07-03 04:00
新竹,新竹市,27,,良好,1,0.21,19,18,16,8,0.6,131,2,8.35,.37,2015-07-03 04:00
新店,新北市,28,,良好,1.3,0.23,9.7,32,20,7.4,1.2,183,2,8.67,1.29,2015-07-03 04:00
新莊,新北市,35,,良好,2.4,0.41,2.4,34,15,22,0.6,24,2,27.26,5.33,2015-07-03 04:00
新港,嘉義縣,29,,良好,4.3,0.19,8.9,22,3,13,1.5,140,2,15.45,2.09,2015-07-03 04:00
新營,臺南市,31,,良好,1.9,0.15,17,29,10,5.4,1.2,180,1,5.96,.56,2015-07-03 04:00
楠梓,高雄市,37,,良好,1.3,0.18,8.4,34,4,9.6,1.4,65,1,11.9,2.28,2015-07-03 04:00
萬里,新北市,36,,良好,1.9,0.23,6.1,33,21,8.9,4,211,3,10.6,1.67,2015-07-03 04:00
萬華,臺北市,36,,良好,2.1,0.34,6.3,33,16,14,1,171,2,16.02,1.96,2015-07-03 04:00
嘉義,嘉義市,27,,良好,2.8,0.15,13,20,4,4.1,1.1,105,2,5.83,1.71,2015-07-03 04:00
彰化,彰化縣,42,,良好,8.4,0.18,17,37,13,6.4,0.8,192,2,6.55,.18,2015-07-03 04:00
臺西,雲林縣,36,,良好,2.9,0.24,7.8,45,19,12,2.6,166,2,12.78,1.11,2015-07-03 04:00
臺東,臺東縣,32,,良好,0.4,0.16,23,27,14,3.2,1.4,299,2,3.78,.56,2015-07-03 04:00
臺南,臺南市,28,,良好,2.9,0.21,16,30,8,7.1,1.4,146,1,8.24,1.14,2015-07-03 04:00
鳳山,高雄市,41,,良好,2.2,0.21,9.1,48,7,9.1,1.3,73,1,10.41,1.35,2015-07-03 04:00
潮州,屏東縣,29,,良好,1.4,0.14,11,24,4,5.4,0.6,22,1,6.15,.71,2015-07-03 04:00
線西,彰化縣,46,,良好,3.5,0.2,12,37,13,9.4,1.6,178,2,10.95,1.52,2015-07-03 04:00
