SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,62,懸浮微粒,普通,3.5,0.31,41,52,33,8.9,3.8,36,4,2015-02-19 04:00
三重,新北市,76,懸浮微粒,普通,7.7,0.6,,101,22,21,,,3,2015-02-19 04:00
三義,苗栗縣,56,懸浮微粒,普通,1,0.36,39,46,18,0.9,3,32,3,2015-02-19 04:00
土城,新北市,66,懸浮微粒,普通,3.1,0.35,66,83,34,3.9,2.1,148,4,2015-02-19 04:00
士林,臺北市,73,懸浮微粒,普通,4.2,0.41,72,116,29,3.9,3.3,113,3,2015-02-19 04:00
大同,臺北市,74,懸浮微粒,普通,4.8,0.47,,107,31,6.5,,,3,2015-02-19 04:00
大里,臺中市,76,懸浮微粒,普通,1.7,0.45,22,93,47,12,0.9,34,7,2015-02-19 04:00
大園,桃園市,65,懸浮微粒,普通,3.4,0.36,61,88,31,5.4,5.4,82,3,2015-02-19 04:00
大寮,高雄市,86,懸浮微粒,普通,4.7,0.61,9.4,116,51,26,1.8,290,7,2015-02-19 04:00
小港,高雄市,101,懸浮微粒,不良,4.8,0.58,23,141,67,15,2.4,48,8,2015-02-19 04:00
中山,臺北市,79,懸浮微粒,普通,4.7,0.41,68,112,28,5.7,2.8,110,3,2015-02-19 04:00
中壢,桃園市,69,懸浮微粒,普通,2.9,0.41,60,93,22,5.5,1.9,167,3,2015-02-19 04:00
仁武,高雄市,91,懸浮微粒,普通,5,0.59,18,122,39,17,2.2,313,5,2015-02-19 04:00
斗六,雲林縣,74,懸浮微粒,普通,1.9,0.52,19,96,45,16,1,43,6,2015-02-19 04:00
冬山,宜蘭縣,50,,良好,1.7,0.34,53,45,22,3.4,1.6,313,3,2015-02-19 04:00
古亭,臺北市,67,懸浮微粒,普通,3.3,0.38,62,84,39,3.8,3.7,36,3,2015-02-19 04:00
左營,高雄市,92,懸浮微粒,普通,3.6,0.58,20,123,51,15,2.3,331,7,2015-02-19 04:00
平鎮,桃園市,64,懸浮微粒,普通,3.3,0.36,58,76,26,5.4,4.4,54,3,2015-02-19 04:00
永和,新北市,64,懸浮微粒,普通,3.7,0.37,65,83,32,3.9,2.8,101,3,2015-02-19 04:00
安南,臺南市,80,懸浮微粒,普通,2.8,0.46,31,86,36,9.1,2.8,33,4,2015-02-19 04:00
朴子,嘉義縣,83,懸浮微粒,普通,3.6,0.56,22,84,45,12,1.6,44,5,2015-02-19 04:00
汐止,新北市,68,懸浮微粒,普通,4.1,0.42,67,92,36,4.8,2.8,64,3,2015-02-19 04:00
竹山,南投縣,90,懸浮微粒,普通,1.8,0.52,5.3,117,67,15,1.1,346,9,2015-02-19 04:00
竹東,新竹縣,56,懸浮微粒,普通,1.8,0.35,53,56,26,4.4,1.8,71,3,2015-02-19 04:00
西屯,臺中市,62,懸浮微粒,普通,1.9,0.35,37,44,26,6.4,2.5,33,5,2015-02-19 04:00
沙鹿,臺中市,62,懸浮微粒,普通,2.4,0.38,34,59,25,11,3.4,38,3,2015-02-19 04:00
宜蘭,宜蘭縣,64,懸浮微粒,普通,1.9,0.35,50,77,31,2.6,1.2,291,4,2015-02-19 04:00
忠明,臺中市,64,懸浮微粒,普通,1.6,0.36,32,61,39,7.5,1.4,50,5,2015-02-19 04:00
松山,臺北市,68,懸浮微粒,普通,3.4,0.43,69,92,33,4.8,2.5,69,4,2015-02-19 04:00
板橋,新北市,66,懸浮微粒,普通,2.8,0.38,63,88,31,4.4,1.9,76,3,2015-02-19 04:00
林口,新北市,65,懸浮微粒,普通,4.9,0.38,72,88,41,3.5,3.4,76,4,2015-02-19 04:00
林園,高雄市,80,懸浮微粒,普通,5.6,0.75,7.3,102,67,30,2.5,35,9,2015-02-19 04:00
花蓮,花蓮縣,47,,良好,1.4,0.3,56,29,14,2.2,2.7,53,2,2015-02-19 04:00
金門,金門縣,90,懸浮微粒,普通,5.3,0.39,54,125,59,4.8,4.3,63,8,2015-02-19 04:00
前金,高雄市,97,懸浮微粒,普通,4.4,0.62,23,131,50,14,2.7,320,6,2015-02-19 04:00
前鎮,高雄市,88,懸浮微粒,普通,3.8,0.57,22,100,52,13,1.5,344,7,2015-02-19 04:00
南投,南投縣,79,懸浮微粒,普通,1.7,0.61,7.5,94,48,16,0.8,36,6,2015-02-19 04:00
屏東,屏東縣,92,懸浮微粒,普通,1.9,0.53,22,115,47,10,0.8,305,7,2015-02-19 04:00
恆春,屏東縣,48,,良好,1.1,0.3,57,32,17,1.6,11,44,2,2015-02-19 04:00
美濃,高雄市,84,懸浮微粒,普通,1.5,0.54,16,106,37,9.2,0.6,35,5,2015-02-19 04:00
苗栗,苗栗縣,58,懸浮微粒,普通,1.4,0.41,23,53,24,11,1,39,3,2015-02-19 04:00
埔里,南投縣,66,懸浮微粒,普通,1.2,0.55,14,76,51,12,0.8,187,7,2015-02-19 04:00
桃園,桃園市,65,懸浮微粒,普通,4.3,0.36,65,85,30,4.1,2.5,84,3,2015-02-19 04:00
馬公,澎湖縣,66,懸浮微粒,普通,2.7,0.35,62,84,30,2.6,8,79,3,2015-02-19 04:00
馬祖,連江縣,0,,,1.7,0.62,64,156,69,5.5,4.9,53,,2015-02-18 14:00
基隆,基隆市,66,懸浮微粒,普通,4,0.43,70,91,48,3.9,1.5,85,5,2015-02-19 04:00
崙背,雲林縣,68,懸浮微粒,普通,4.7,0.54,26,56,41,13,2.8,57,6,2015-02-19 04:00
淡水,新北市,59,懸浮微粒,普通,3.4,0.39,65,81,27,1.9,,,3,2015-02-19 04:00
麥寮,雲林縣,72,懸浮微粒,普通,3.2,0.32,41,82,36,7.9,2.9,47,4,2015-02-19 04:00
善化,臺南市,80,懸浮微粒,普通,4.2,0.61,15,103,54,15,1.8,34,6,2015-02-19 04:00
復興,高雄市,90,懸浮微粒,普通,3.3,0.6,19,105,56,12,0.7,278,8,2015-02-19 04:00
湖口,新竹縣,63,懸浮微粒,普通,3.6,0.34,61,83,26,4.4,6.5,55,3,2015-02-19 04:00
菜寮,新北市,68,懸浮微粒,普通,8.5,0.4,51,93,35,6.8,3.3,90,3,2015-02-19 04:00
陽明,臺北市,59,臭氧,普通,3.7,0.42,70,54,35,2.3,,,3,2015-02-19 04:00
新竹,新竹市,62,懸浮微粒,普通,2.4,0.4,58,76,34,5.3,3.5,73,3,2015-02-19 04:00
新店,新北市,67,懸浮微粒,普通,3.3,0.36,63,82,31,3.9,3,125,4,2015-02-19 04:00
新莊,新北市,64,懸浮微粒,普通,4,0.4,64,81,32,5.5,5,82,3,2015-02-19 04:00
新港,嘉義縣,76,懸浮微粒,普通,3.5,0.53,23,82,30,10,1.4,39,3,2015-02-19 04:00
新營,臺南市,87,懸浮微粒,普通,4,0.67,20,116,39,14,2.2,34,4,2015-02-19 04:00
楠梓,高雄市,96,懸浮微粒,普通,3.2,0.56,18,128,34,14,2.1,16,4,2015-02-19 04:00
