監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.054,2015-02-12 04:00
三芝,SHANGI,0.059,2015-02-12 04:00
石崩山,SHIHBENGSHAN,0.068,2015-02-12 04:00
茂林,MAOLIN,0.051,2015-02-12 04:00
金山,CHINSHAN,0.049,2015-02-12 01:05
野柳,YEHLIU,0.056,2015-02-12 04:00
大鵬,TAPERNG,0.050,2015-02-12 04:00
陽明山,YANGMINSHAN,0.058,2015-02-12 04:00
大坪,TAPING,0.068,2015-02-12 04:00
萬里,WANLI,0.072,2015-02-12 03:55
台北,TAIPEI,0.057,2015-02-12 04:00
宜蘭,ILAN,0.062,2015-02-12 04:00
龍潭,LUNGTAN,0.051,2015-02-12 04:00
台中,TAICHUNG,0.068,2015-02-12 04:00
台東,TAITUNG,0.054,2015-02-12 04:00
高雄,KAOHSIUNG,0.058,2015-02-12 04:00
恆春,HENGCHUN,0.073,2015-02-12 04:00
龍泉,LUNGCHUAN,0.059,2015-02-12 04:00
大光,TAKUANG,0.050,2015-02-12 04:00
墾丁,KENTING,0.053,2015-02-12 04:00
後壁湖,HOUBIHU,0.057,2015-02-12 04:00
澳底,AODI,0.050,2015-02-12 04:00
貢寮,GONGLIAO,0.051,2015-02-12 04:00
阿里山,ALISHAN,0.115,2015-02-12 04:00
金門,KINMEN,0.082,2015-02-12 04:05
蘭嶼,LANYU,0.040,2015-02-12 04:05
台南,TAINAN,0.061,2015-02-12 04:05
龍門,LUNGMEN,0.051,2015-02-12 04:05
雙溪,SHUANGSI,0.059,2015-02-12 04:05
三港,SANGANG,0.063,2015-02-12 04:05
新竹,HSINCHU,0.053,2015-02-12 04:05
花蓮,HUALINE,0.052,2015-02-12 04:05
澎湖,PENGHU,0.052,2015-02-12 04:05
馬祖,MATZU,0.055,2015-02-12 04:05
滿州,MANJHOU,0.051,2015-02-12 04:05
板橋,BANCIAO,0.070,2015-02-12 04:05
屏東市,PINGTONG,0.049,2015-02-12 04:05
基隆,KEELUNG,0.060,2015-02-12 04:05
頭城,TOUCHENG,0.052,2015-02-12 04:05
竹北,JHUBEI,0.045,2015-02-12 04:05
苗栗,MIAOLI,0.048,2015-02-12 04:05
南投,NANTOU,0.050,2015-02-12 04:05
彰化,CHANGHUA,0.073,2015-02-12 04:05
雲林,YUNLIN,0.053,2015-02-12 04:05
嘉義,CHIAYI,0.044,2015-02-12 04:05
