SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,54,懸浮微粒,普通,6.4,0.34,36,78,18,13,6,72,2,18.09,5.2,2015-11-25 10:00
關山,臺東縣,23,,良好,1.8,,28,24,6,4.5,2,73,1,8.24,3.78,2015-11-25 10:00
馬公,澎湖縣,35,,良好,1.1,0.32,42,27,18,3,5.7,78,2,3.95,.97,2015-11-25 10:00
金門,金門縣,75,懸浮微粒,普通,4.6,0.37,45,77,30,7.6,3.5,51,3,9.87,2.28,2015-11-25 10:00
馬祖,連江縣,35,,良好,1.9,0.38,36,37,21,4.3,4.7,65,2,5.22,.89,2015-11-25 10:00
埔里,南投縣,46,,良好,2.8,0.46,36,45,27,11,1.4,37,3,14,3.41,2015-11-25 10:00
復興,高雄市,59,懸浮微粒,普通,5.4,1.24,19,78,35,43,0.6,190,3,59.41,16.2,2015-11-25 10:00
永和,新北市,26,,良好,1.5,0.83,28,32,13,20,3,84,1,31.88,11.98,2015-11-25 10:00
竹山,南投縣,48,,良好,4.4,0.39,25,56,30,16,1.9,309,3,20.19,4.58,2015-11-25 10:00
中壢,桃園市,50,,良好,4.7,0.85,11,50,17,39,1,94,2,57.15,18.13,2015-11-25 10:00
三重,新北市,42,,良好,2.2,1.74,,54,16,43,,,1,135.02,91.85,2015-11-25 10:00
宜蘭,宜蘭縣,33,,良好,1.3,0.26,25,35,2,6.8,0.7,190,1,8.42,1.64,2015-11-25 10:00
陽明,臺北市,36,,良好,1,0.25,43,11,8,1.5,,,1,2.17,.66,2015-11-25 10:00
花蓮,花蓮縣,21,,良好,2.9,0.31,25,23,5,7.5,2.7,61,1,12.34,4.81,2015-11-25 10:00
臺東,臺東縣,27,,良好,2,0.41,33,26,4,7.5,2.6,77,1,11.05,3.58,2015-11-25 10:00
恆春,屏東縣,36,,良好,1,0.16,44,27,5,2.6,5.7,14,1,3.93,1.29,2015-11-25 10:00
潮州,屏東縣,65,懸浮微粒,普通,2.6,0.41,35,81,39,8.4,1.4,282,3,9.98,1.59,2015-11-25 10:00
屏東,屏東縣,65,懸浮微粒,普通,2.6,0.61,36,92,37,,1.5,288,3,,,2015-11-25 10:00
小港,高雄市,64,懸浮微粒,普通,6.7,0.75,19,87,42,39,1.6,59,3,55.86,17.07,2015-11-25 10:00
前鎮,高雄市,56,懸浮微粒,普通,4.6,0.81,29,68,25,32,1.5,27,2,42.7,10.34,2015-11-25 10:00
前金,高雄市,56,懸浮微粒,普通,4.9,0.61,32,70,32,23,2.3,321,2,30,7.22,2015-11-25 10:00
左營,高雄市,61,懸浮微粒,普通,5.4,0.59,30,79,25,23,1.9,20,3,30.8,7.72,2015-11-25 10:00
楠梓,高雄市,67,懸浮微粒,普通,4.2,0.49,28,88,17,19,1.5,58,2,25.69,7.05,2015-11-25 10:00
