監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.055,2015-01-23 15:15
三芝,SHANGI,0.061,2015-01-23 15:15
石崩山,SHIHBENGSHAN,0.070,2015-01-23 15:15
茂林,MAOLIN,0.053,2015-01-23 15:15
金山,CHINSHAN,0.050,2015-01-23 15:15
野柳,YEHLIU,0.056,2015-01-23 15:15
大鵬,TAPERNG,0.067,2015-01-23 15:15
陽明山,YANGMINSHAN,0.061,2015-01-23 15:15
大坪,TAPING,0.069,2015-01-23 15:15
萬里,WANLI,0.073,2015-01-23 15:15
台北,TAIPEI,0.057,2015-01-23 15:15
宜蘭,ILAN,0.064,2015-01-23 15:15
龍潭,LUNGTAN,0.052,2015-01-23 15:15
台中,TAICHUNG,0.072,2015-01-23 15:15
台東,TAITUNG,0.056,2015-01-23 15:15
高雄,KAOHSIUNG,0.061,2015-01-23 15:15
恆春,HENGCHUN,0.069,2015-01-23 15:15
龍泉,LUNGCHUAN,0.056,2015-01-23 15:15
大光,TAKUANG,0.050,2015-01-23 15:15
墾丁,KENTING,0.054,2015-01-23 15:20
後壁湖,HOUBIHU,0.058,2015-01-23 15:20
澳底,AODI,0.054,2015-01-23 15:20
貢寮,GONGLIAO,0.050,2015-01-23 15:20
阿里山,ALISHAN,0.107,2015-01-23 15:20
金門,KINMEN,0.080,2015-01-23 15:20
蘭嶼,LANYU,0.041,2015-01-23 15:20
台南,TAINAN,0.062,2015-01-23 15:20
龍門,LUNGMEN,0.053,2015-01-23 15:20
雙溪,SHUANGSI,0.068,2015-01-23 15:20
三港,SANGANG,0.071,2015-01-23 15:20
新竹,HSINCHU,0.051,2015-01-23 15:20
花蓮,HUALINE,0.050,2015-01-23 15:20
澎湖,PENGHU,0.052,2015-01-23 15:20
馬祖,MATZU,0.054,2015-01-23 15:20
滿州,MANJHOU,0.048,2015-01-23 15:20
板橋,BANCIAO,0.071,2015-01-23 15:20
屏東市,PINGTONG,0.046,2015-01-23 15:20
基隆,KEELUNG,0.062,2015-01-23 15:20
頭城,TOUCHENG,0.052,2015-01-23 15:20
竹北,JHUBEI,0.051,2015-01-23 15:20
苗栗,MIAOLI,0.048,2015-01-23 15:20
南投,NANTOU,0.054,2015-01-23 15:20
彰化,CHANGHUA,0.062,2015-01-23 15:20
雲林,YUNLIN,0.060,2015-01-23 15:20
嘉義,CHIAYI,0.045,2015-01-23 15:20
