監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.054,2015-02-04 16:05
三芝,SHANGI,0.067,2015-02-04 16:05
石崩山,SHIHBENGSHAN,0.079,2015-02-04 16:05
茂林,MAOLIN,0.057,2015-02-04 16:05
金山,CHINSHAN,0.052,2015-02-04 16:10
野柳,YEHLIU,0.061,2015-02-04 16:10
大鵬,TAPERNG,0.064,2015-02-04 16:05
陽明山,YANGMINSHAN,0.064,2015-02-04 16:10
大坪,TAPING,0.089,2015-02-04 16:05
萬里,WANLI,0.079,2015-02-04 16:10
台北,TAIPEI,0.055,2015-02-04 16:05
宜蘭,ILAN,0.071,2015-02-04 16:05
龍潭,LUNGTAN,0.052,2015-02-04 16:10
台中,TAICHUNG,0.069,2015-02-04 16:05
台東,TAITUNG,0.058,2015-02-04 16:05
高雄,KAOHSIUNG,0.061,2015-02-04 16:10
恆春,HENGCHUN,0.071,2015-02-04 16:05
龍泉,LUNGCHUAN,0.060,2015-02-04 16:10
大光,TAKUANG,0.051,2015-02-04 16:05
墾丁,KENTING,0.054,2015-02-04 16:05
後壁湖,HOUBIHU,0.058,2015-02-04 16:05
澳底,AODI,0.062,2015-02-04 16:10
貢寮,GONGLIAO,0.058,2015-02-04 16:10
阿里山,ALISHAN,0.108,2015-02-04 16:10
金門,KINMEN,0.076,2015-02-04 16:10
蘭嶼,LANYU,0.040,2015-02-04 16:10
台南,TAINAN,0.064,2015-02-04 16:05
龍門,LUNGMEN,0.073,2015-02-04 16:10
雙溪,SHUANGSI,0.062,2015-02-04 16:10
三港,SANGANG,0.066,2015-02-04 16:05
新竹,HSINCHU,0.053,2015-02-04 16:05
花蓮,HUALINE,0.054,2015-02-04 16:10
澎湖,PENGHU,0.050,2015-02-04 16:05
馬祖,MATZU,0.052,2015-02-04 16:10
滿州,MANJHOU,0.052,2015-02-04 16:05
板橋,BANCIAO,0.081,2015-02-04 16:05
屏東市,PINGTONG,0.054,2015-02-04 16:05
基隆,KEELUNG,0.066,2015-02-04 16:05
頭城,TOUCHENG,0.057,2015-02-04 16:10
竹北,JHUBEI,0.050,2015-02-04 16:05
苗栗,MIAOLI,0.046,2015-02-04 16:05
南投,NANTOU,0.051,2015-02-04 16:05
彰化,CHANGHUA,0.064,2015-02-04 16:05
雲林,YUNLIN,0.051,2015-02-04 16:10
嘉義,CHIAYI,0.047,2015-02-04 16:05
